|    |   Accuracy |   Precision |   Recall |
|---:|-----------:|------------:|---------:|
|  0 |   1        |    0.983607 | 1        |
|  1 |   1        |    0.994475 | 1        |
|  2 |   0.997333 |    0.992042 | 0.997333 |
|  3 |   0.991111 |    0.952991 | 0.991111 |
|  4 |   0.992424 |    1        | 0.992424 |
|  5 |   0.998413 |    0.976708 | 0.998413 |
|  6 |   0.986667 |    1        | 0.986667 |
|  7 |   0.977778 |    0.98434  | 0.977778 |
|  8 |   0.997222 |    0.997222 | 0.997222 |
|  9 |   1        |    0.985401 | 1        |
| 10 |   1        |    0.983607 | 1        |
| 11 |   0.994737 |    0.999051 | 0.994737 |
