|    |   Accuracy |   Precision |   Recall |
|---:|-----------:|------------:|---------:|
|  0 |   1        |    0.983607 | 1        |
|  1 |   1        |    0.994475 | 1        |
|  2 |   0.996    |    0.992032 | 0.996    |
|  3 |   0.993333 |    0.951064 | 0.993333 |
|  4 |   0.989394 |    1        | 0.989394 |
|  5 |   0.998413 |    0.982813 | 0.998413 |
|  6 |   0.977778 |    1        | 0.977778 |
|  7 |   0.993333 |    0.975983 | 0.993333 |
|  8 |   0.997222 |    0.998609 | 0.997222 |
|  9 |   1        |    0.978261 | 1        |
| 10 |   1        |    1        | 1        |
| 11 |   0.994602 |    0.999187 | 0.994602 |
